0,1,2,3,4,5,6,7
0.0003404506,0.97956043,0.015848553,0.004250583,0.031613693,0.9667067,0.0013303687,0.00034923776
0.00091770955,0.8237048,0.16981705,0.005560476,0.15449557,0.8133223,0.026058896,0.0061232164
0.0010325796,0.8287999,0.15849297,0.011674538,0.08923831,0.90400404,0.0056337593,0.0011239396
1.1724124e-05,0.818698,0.18128154,8.768209e-06,0.012086794,0.9827784,0.004811659,0.00032315278
3.7135671e-06,0.929159,0.07045757,0.00037968418,0.14698525,0.84453124,0.0040451433,0.004438444
0.00020643277,0.990807,0.0072192433,0.0017673633,0.038622767,0.8842011,0.07408205,0.0030941025
0.000120573015,0.95976585,0.039278015,0.00083551265,0.16075636,0.8091348,0.02072172,0.009387139
0.0040570702,0.004531416,0.85810405,0.13330743,0.18315814,0.81568235,0.00036453712,0.00079492823
0.0013486069,0.0056879763,0.94254434,0.050418977,0.045834515,0.9157631,0.0366849,0.0017174798
0.00033458456,0.30455446,0.69474965,0.00036131014,0.10628496,0.8916567,0.0014876832,0.00057065755
0.0020944704,0.023859318,0.9536561,0.020390065,0.041159306,0.9512373,0.006161619,0.0014417002
0.002545269,0.07183473,0.89742345,0.02819658,0.0130923875,0.976674,0.009786675,0.00044699296
0.02383743,0.016093476,0.9244096,0.035659496,0.12147612,0.8320268,0.02890682,0.017590288
0.001196042,0.09784278,0.9004398,0.0005213654,0.16921107,0.80694556,0.01623136,0.007612054
0.00010137701,0.23284154,0.7669932,6.383332e-05,0.028918203,0.9625055,0.0074565182,0.001119753
1.066755e-05,0.004097191,0.9958592,3.288122e-05,0.27976754,0.6897645,0.014050184,0.016417814
0.00020430275,0.44553083,0.55294657,0.0013183281,0.3021668,0.67960495,0.006413448,0.011814764
4.441583e-05,0.17482574,0.82501215,0.000117635755,0.023241678,0.9747984,0.0016604529,0.000299502
9.078292e-05,0.03161523,0.9682704,2.35926e-05,0.1403424,0.8233222,0.018749636,0.017585767
0.013750205,0.21540377,0.66854835,0.10229758,0.024658488,0.95785844,0.015041258,0.002441902
0.0010216134,0.9524779,0.01158978,0.034910716,0.06177199,0.92453116,0.0107162995,0.002980476
0.0016543175,0.94822925,0.048314,0.0018024319,0.083662845,0.8715994,0.032975476,0.011762265
0.0023961756,0.8390845,0.07020226,0.088317074,0.1637331,0.8319877,0.0027607575,0.0015184862
7.522934e-05,0.49388126,0.505967,7.6525976e-05,0.03767349,0.9515458,0.009584676,0.0011960804
0.0031148926,0.96727115,0.022673419,0.006940469,0.06253894,0.9363992,0.0008551585,0.00020665785
0.002014807,0.10250795,0.89217913,0.003298141,0.07433486,0.9209573,0.004008856,0.00069897925
0.00022877684,0.95717454,0.036494777,0.006101786,0.04277947,0.9526368,0.0030732737,0.0015105164
0.00018076396,0.8900074,0.1087179,0.0010940039,0.11794459,0.83537775,0.03487624,0.011801353
7.367301e-05,0.9864352,0.013272339,0.00021886667,0.009926295,0.9890793,0.0009213066,7.312359e-05
0.0005825512,0.27319673,0.7251582,0.001062435,0.10096225,0.8926582,0.0032406645,0.0031388754
0.07196536,0.0019278798,0.9243451,0.0017617416,0.041428022,0.9577294,0.00058648,0.0002561406
0.002433774,0.00022854589,0.9952129,0.0021248118,0.015669633,0.9660652,0.017497443,0.0007677121
0.020691575,0.020583762,0.9424338,0.016290814,0.024826284,0.9432398,0.028655583,0.0032782457
0.0005509151,0.1704777,0.8287944,0.00017696379,0.103622615,0.8952584,0.00064983685,0.0004692035
0.003949081,0.014164245,0.9684607,0.01342594,0.6692124,0.32282263,0.00079843437,0.0071666106
9.587564e-05,0.0031782445,0.99598545,0.00074036425,0.024769394,0.9688655,0.0056251055,0.00074001134
