0,1,2,3
0.018393038,0.9360708,0.00310548,0.042430703
0.01156747,0.97819006,0.0039265105,0.006315971
0.090783946,0.84085876,0.063756876,0.0046004523
0.0123677,0.8367511,0.0019991815,0.14888199
0.03180456,0.84911793,0.005413622,0.113663845
0.0031191483,0.98066074,0.0002825985,0.01593767
0.04651146,0.72689706,0.22629184,0.00029968336
0.028055536,0.76150537,0.20920433,0.0012346455
0.01204079,0.9334291,0.0010272915,0.05350272
0.008034127,0.85471636,0.019270921,0.11797854
0.01204079,0.9334291,0.0010272915,0.05350272
0.008034127,0.85471636,0.019270921,0.11797854
0.034020234,0.025301592,0.92660743,0.014070771
0.07117547,0.013145177,0.8890062,0.026673237
0.03462554,0.0045300354,0.96065944,0.00018492399
0.028697131,0.093346424,0.87777615,0.00018017479
0.12553981,0.02332215,0.6990056,0.15213238
0.08829266,0.0039120917,0.8716915,0.03610376
0.039932415,0.02718383,0.91325545,0.01962836
0.066247374,0.010012745,0.91962236,0.0041174875
0.019850552,0.34381977,0.63625926,7.043419e-05
0.10300708,0.0513688,0.8425533,0.0030707377
0.019850552,0.34381977,0.63625926,7.043419e-05
0.10300708,0.0513688,0.8425533,0.0030707377
0.011657671,0.0072179367,0.03803996,0.9430844
0.0021056705,0.009885908,0.00094891863,0.98705953
0.014454664,0.16330329,0.0013688735,0.82087314
0.013754129,0.2226079,0.0015195906,0.7621184
0.003142463,0.12182682,0.0007555063,0.87427527
0.0038651507,0.008682431,0.0010222363,0.98643017
0.007773652,0.09660773,0.00072349445,0.89489514
0.015850486,0.008890417,0.045970324,0.9292888
0.010973738,0.24828614,0.006784709,0.7339554
0.031884626,0.0016477786,0.053170074,0.9132975
0.010973738,0.24828614,0.006784709,0.7339554
0.031884626,0.0016477786,0.053170074,0.9132975
0.27212718,0.17862998,0.48450705,0.06473571
0.52177966,0.13303445,0.3107168,0.034469068
0.04977181,0.8687916,0.00894722,0.07248944
0.067532666,0.91177016,0.017602589,0.0030945272
0.16194095,0.7950534,0.027445141,0.01556046
0.2735553,0.4031271,0.22693436,0.09638319
0.08577223,0.8974914,0.01377873,0.002957657
0.18255658,0.65069425,0.14278454,0.023964575
0.064276405,0.84996545,0.085266024,0.0004922639
0.13276407,0.78071076,0.043227814,0.043297313
0.064276405,0.84996545,0.085266024,0.0004922639
0.13276407,0.78071076,0.043227814,0.043297313
